NumberSuffixM,{0:F2}m,,,,,,,,,,,
LevelCompletedTitle,LEVEL COMPLETED!,,,,,,,,,,,
UserProfileLabel,User Profile,,,,,,,,,,,
LanguageLabel,Language,,,,,,,,,,,
btnPurchase,Purchase,,,,,,,,,,,
MusicLabel,Music,,,,,,,,,,,
SoundLabel,Sound,,,,,,,,,,,
BtnSendMail,Send Mail,,,,,,,,,,,
PopupBattlePauseTitle,Settings,,,,,,,,,,,
UserNamePlaceHolder,Username,,,,,,,,,,,
BtnBattleReturnHome,Return to Home,,,,,,,,,,,
btnConnect,Connect,,,,,,,,,,,
continue,Continue,,,,,,,,,,,
ShopGoldGroupTitle,GOLD,,,,,,,,,,,
ShopGoldGroupDesc,Gold Packs,,,,,,,,,,,
ShopHeartGroupTitle,HEART,,,,,,,,,,,
ShopHeartGroupDesc,Use them to enter challenging levels,,,,,,,,,,,
ShopSkipAdsGroupTitle,SKIP ADS,,,,,,,,,,,
ShopSkipAdsGroupDesc,Earn rewards with no ads.,,,,,,,,,,,
NoAdsPackageDesc,Remove popup ads and banner ads.,,,,,,,,,,,
Gold_Display,Gold,,,,,,,,,,,
TheLuc_Display,Heart,,,,,,,,,,,
TabToClose,Tab to close,,,,,,,,,,,
Infinite,Inf.,,,,,,,,,,,
ReviewUs_title,Rate Us,,,,,,,,,,,
ReviewUs_des,Give us 5 stars if you enjoy our game.,,,,,,,,,,,
NotEnoughResourceMessage,You don't have enough resource.\nWould you like to purchase?,,,,,,,,,,,
FreeLabel,Free,,,,,,,,,,,
ReportBugSubject,BUG REPORT,,,,,,,,,,,
watch_ads_fail,Failed to view ads,,,,,,,,,,,
watch_ads_cancel,Viewing ads canceled,,,,,,,,,,,
LevelLabel,Level,,,,,,,,,,,
TimeLabel,Time,,,,,,,,,,,
MovesTitle,Moves,,,,,,,,,,,
AdsTimeLabel,"+ {0}s",,,,,,,,,,,
LabelOutOfTime,OUT OF TIME,,,,,,,,,,,
LabelHome,Home,,,,,,,,,,,
LeaderboardLabel,Leaderboard,,,,,,,,,,,
LostHeartMessage,You lost 1 heart.,,,,,,,,,,,
NeedMoreTimeMessage,Need more time?,,,,,,,,,,,
BtnTryAgain,Try again,,,,,,,,,,,
HardLevelLabel,HARD LEVEL,,,,,,,,,,,
VeryHardLevelLabel,VERY HARD LEVEL,,,,,,,,,,,
SupportIDLabel,Support ID: {0},,,,,,,,,,,
PersonalizedAdsBtn,Personalized Ads,,,,,,,,,,,
PurchaseRestoreBtn,Restore Purchases,,,,,,,,,,,
MessageHetLevel,Stay tuned for more exciting levels coming soon!,,,,,,,,,,,
btnCheckUpdate,Check Update,,,,,,,,,,,
PopupPowerUpSuppliesTitle,POWER-UP SUPPLIES,,,,,,,,,,,
Offer_PU_Sup_name,Power-up Supplies,,,,,,,,,,,
Offer_Big_PU_Sup_name,Big Power-up Supplies,,,,,,,,,,,
Offer_Mega_PU_Sup_name,Mega Power-up Supplies,,,,,,,,,,,
Offer_Limited_Time_name,The Galaxy Bundle,,,,,,,,,,,
Justforyou,Just for you!,,,,,,,,,,,
PowerUpOffer,Power-up offer,,,,,,,,,,,
ReceiveTheReward,You receive the reward,,,,,,,,,,,
TapToActive,Tap to active Power-up,,,,,,,,,,,
TapToCut,Tap to cut straight up,,,,,,,,,,,
PowerUpSuplies,Power-up Supplies,,,,,,,,,,,
OnlyAvailable,Only available for <color=#FFC123>{0}</color>,,,,,,,,,,,
LimitedOfferDesc,Exclusive <color=#FFC123>Animation</color> and <color=#FFC123>Effect</color> Item Set.,,,,,,,,,,,
NoInternetConnection,NO INTERNET CONNECTION,,,,,,,,,,,
NoInternetDes,Check your internet connection and try again,,,,,,,,,,,
CheckingInternet,Checking your internet...,,,,,,,,,,,
ConfirmLostHeartDes,You will lost 1 heart.,,,,,,,,,,,
VIPActivated,VIP PASS ACTIVATED,,,,,,,,,,,
NotPurchase,NOT PURCHASED YET,,,,,,,,,,,
ExpiredOn,Expired on:,,,,,,,,,,,
DalyReward,Daily Reward,,,,,,,,,,,
ExtraPlayTime,Extra Play Time,,,,,,,,,,,
BonusRewards,Bonus Rewards,,,,,,,,,,,
dayleft,{0} days left,,,,,,,,,,,
,,,,,,,,,,,,
NotNow,Not now,,,,,,,,,,,
GiveUp,Give Up,,,,,,,,,,,
GetMoreTime,Play with extra time?,,,,,,,,,,,
AddTime,Add Time,,,,,,,,,,,
UnlockAtLevelMsg,Unlock from level {0},,,,,,,,,,,
,,,,,,,,,,,,
btnPlay,Play,,,,,,,,,,,
TabToOpen,Tab to open,,,,,,,,,,,
,,,,,,,,,,,,
TryAgainLevelNow,Reload level and try again now?,,,,,,,,,,,
GoldCost,"<sprite=""Gold"" index=0>{0}",,,,,,,,,,,
WatchAdCost,"<sprite=""VideoAd"" index=0> Ad",,,,,,,,,,,
BtnContinueLoseBattle,Continue,,,,,,,,,,,
YouWillLostWarning,You will lost:,,,,,,,,,,,
EndIn,End in: {0},,,,,,,,,,,
ResValueLabel,{0:d},,,,,,,,,,,,,,
ResValueB,{0:#0.#}b,,,,,,,,,,,,,,
ResValueM,{0:#0.#}m,,,,,,,,,,,,,,
ResValueK,{0:#0.#}k,,,,,,,,,,,,,,
ResTimeValueHour,{0:#0.#}h,,,,,,,,,,,,,,
ResTimeValueMinute,{0:#0.#}m,,,,,,,,,,,,,,
ResTimeValueSecond,{0:#0.#}s,,,,,,,,,,,,,,
LevelNumLabel,Level {0},,,,,,,,,,,,,,
DayHourTimeSpan,{0}d {1:00.#}h,,,,,,,,,,,,,,
HourMinuteTimeSpan,{0:00}h {1:00.#}m,,,,,,,,,,,,,,
MinuteSecondsTimeSpan,{0:00}m {1:00}s,,,,,,,,,,,,,,
DailyBonusLabel,Disc Drop,,,,,,,,,,,,,,
DailyBonusMessage,Choose one of slot to drop the disc,,,,,,,,,,,,,,
DailyBonusOutOfDisc,Out of disc,,,,,,,,,,,,,,
AddTimeLbl,+ {0} days,,,,,,,,,,,,,,
NotSupportHapticMessage,Haptic is not available.,,,,,,,,,,,,,,
PremiumLabel,Premium,,,,,,,,,,,,,,
KingFisherLbl,King Fisher,,,,,,,,,,,,,,
ActivateLbl,Activate,,,,,,,,,,,,,,
UnlockAtLevel,Unlock at lv {0},,,,,,,,,,,,,,
HapticLabel,Haptic,,,,,,,,,,,,,,
SocialPage,SOCIAL,,,,,,,,,,,,,,
WinstreakLbl,Win streak,,,,,,,,,,,,,,
WS_Des1,BEAT LEVELS!,,,,,,,,,,,,,,
WS_Des2,RIDE UP!,,,,,,,,,,,,,,
WS_Des3,WIN AMAZING REWARDS!,,,,,,,,,,,,,,
WS_Des4,EVERY FAIL RESETS \nCHECKPOINT PROGRESS!,,,,,,,,,,,,,,
TapToContinue,TAP TO CONTINUE,,,,,,,,,,,,,,
KF_Des2,COLLECT FISHES!,,,,,,,,,,,,,,
KF_Des4,YOU CAN ACTIVE <color=#00FBFF>KING FISHER</color> TO GET ADDITIONAL EXCLUSIVE REWARDS!,,,,,,,,,,,,,,
FullHeartLabel,"Full <sprite=""Heart"" index=0>",,,,,,,,,,,,,,
AttemptLbl,Remaining attempts: {0},,,,,,,,,,,,,,
AddTheLucLabel,"+{0} <sprite=""Heart"" index=0>",,,,,,,,,,,,,,
ResourceStringValue,"<sprite=""{0}"" index=0> {1}",,,,,,,,,,,,,,
Unlocked,Unlocked,,,,,,,,,,,,,,,
UnlockLevel,Unlock Level {0},,,,,,,,,,,,,,
x3Value,x5 VALUE,,,,,,,,,,,,,,
x1Value,x1,,,,,,,,,,,,,,
Tut_L1_Mess1,Tap <color=#FF3B00>3</color> identical items to collect them,,,,,,,,,,,,,,
Tut_L1_Mess2,Collect all <color=#FF3B00>Goal</color> items to complete the level,,,,,,,,,,,,,,
Tut_L2_Mess,Collect all <color=#FF3B00>Goal</color> items before time is over!,,,,,,,,,,,,,,
Tut_L3_Mess,<color=#FF3B00>Magnifying Glass</color> help you collect up to 3 <color=#FF3B00>goal items</color>,,,,,,,,,,,,,,
Tut_L4_Mess,Objects do not have to be in order to match!,,,,,,,,,,,,,,
HoldToSee,HOLD TO SEE THE BOARD,,,,,,,,,,,,,,
PopupUnLockPowerUpTitle,New Power-Up Unlocked!,,,,,,,,,,,,,,
Tut_BO_DongHo_Desc,Let's start the game with <color=#FF3B00>Mega Sandglass</color> to get extra <color=#FF3B00>30</color> seconds,,,,,,,,,,,,,,
Tut_BO_TenLua_Desc,Let's start the game with <color=#FF3B00>Mega Meteor</color> to destroy <color=#FF3B00>1</color> bus block,,,,,,,,,,,,,,
Tut_TenLua_Drop_Desc,Collect <color=#FF3B00>Meteor</color> to destroy <color=#FF3B00>1</color> bus block,,,,,,,,,,,,,,
Tut_DongHo_Drop_Desc,Collect <color=#FF3B00>Sandglass</color> to get extra <color=#FF3B00>6</color> seconds,,,,,,,,,,,,,,
btnPlayWith,Play with,,,,,,,,,,,,,,
PO_Hut_Name,Magnet,,,,,,,,,,,,,,
PO_Bua_Name,Hammer,,,,,,,,,,,,,,
PO_Cua_Name,Wrench,,,,,,,,,,,,,,
PO_Bang_Name,Snowflake,,,,,,,,,,,,,,
GetLbl,Get,,,,,,,,,,,,,,
ShopTag_1,Limited offer!,,,,,,,,,,,,,,
ShopTag_2,Best Value,,,,,,,,,,,,,,
ShopTag_3,Most Popular,,,,,,,,,,,,,,
LevelNotEnough,You have not reached the reward level yet.,,,,,,,,,,,,,,
RetryWithLabel,Retry with,,,,,,,,,,,
ConfirmLabel,Confirm,,,,,,,,,,,
Winstreak_Lbl,WIN STREAK BONUS,,,,,,,,,,,
BeastLevel_Lbl, Beast Levels!,,,,,,,,,,,
Btn_Close,Close,,,,,,,,,,,
Winstreak_Des1,Keep your win streak for bonus time,,,,,,,,,,,
Winstreak_Des2,Every failure resets progress,,,,,,,,,,,
DifLabel_Normal,NORMAL,,,,,,,,,,,
DifLabel_Hard,HARD,,,,,,,,,,,
MessNamChamVaoXeBang,Can not use magnet on frozen bus.,,,,,,,,,,,
NewLbl,New!,,,,,,,,,,,
MessCatXe1O,Can not slide 1 square bus.,,,,,,,,,,,
ChooseBooster_Lbl,Choose your boosters,,,,,,,,,,,
YourWinStreak_Lbl,Your Win Streak,,,,,,,,,,,
StartBundle_Des,You will get many items in this bundle,,,,,,,,,,,
ComingSoonLbl,Coming soon,,,,,,,,,,,
Tut_xe_mot_chieu,Arrow-marked buses move in a single direction only,,,,,,,,,,,
Tut_xe_dong_bang,Finish a bus to melt the ice,,,,,,,,,,,
Tut_xe_hai_tang,"When filled, the upper bus takes off",,,,,,,,,,,
Tut_tang_da,You can move the blocking crate,,,,,,,,,,,
Tut_cua_khoa,Complete the bus to unlock the matching color door,,,,,,,,,,,
Tut_L1,Drag the buses to pick up matching-color passengers,,,,,,,,,,,
Tut_xe_noi_nhau,"Some buses are connected, they move together when dragged",,,,,,,,,,,
Claimed_lbl,Claimed,,,,,,,,,,,
